#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.822	346	32.848	456
32.873	371	32.898	499
32.923	400	32.949	547
32.975	432	32.999	597
33.025	465	33.050	647
33.076	498	33.101	696
33.126	529	33.152	739
33.177	557	33.202	774
33.228	580	33.253	801
33.279	596	33.303	817
33.329	606	33.355	821
33.380	608	33.405	816
33.430	604	33.456	801
33.482	592	33.506	775
33.532	573	33.557	740
33.583	549	33.608	698
33.633	520	33.659	651
33.684	488	33.710	600
33.734	455	33.760	551
33.786	422	33.811	503
33.836	391	33.861	461
33.887	363	33.913	425
33.937	340	33.963	397
33.988	323	34.014	381
34.039	314	34.064	378
34.090	312	34.115	384
34.140	316	34.166	401
34.191	329	34.217	429
34.241	347	34.267	465
34.293	372	34.318	508
34.343	399	34.368	556
34.394	432	34.420	605
34.444	464	34.470	654
34.495	497	34.521	700
34.546	528	34.571	742
34.597	556	34.622	775
34.647	578	34.672	800
34.698	595	34.724	814
34.748	605	34.774	816
34.799	608	34.825	810
34.850	604	34.875	793
34.901	592	34.926	766
34.951	574	34.977	731
35.002	550	35.028	688
35.052	521	35.078	642
35.104	489	35.129	593
35.154	456	35.179	544
35.205	424	35.231	497
35.255	392	35.281	457
35.306	364	35.332	424
35.357	341	35.382	399
35.408	324	35.433	385
35.458	315	35.483	383
35.509	312	35.535	391
35.559	317	35.585	410
35.610	328	35.636	439
35.661	347	35.686	475
35.712	371	35.737	518
35.762	399	35.788	564
35.813	431	35.839	612
35.863	464	35.889	660
35.915	497	35.940	704
35.965	528	35.990	744
36.016	556	36.042	775
36.066	578	36.092	798
36.117	595	36.143	809
36.168	605	36.193	810
36.219	608	36.244	802
36.269	604	36.294	784
36.320	592	36.346	757
36.370	574	36.396	721
36.421	550	36.447	678
36.472	522	36.497	634
36.523	490	36.548	585
36.573	457	36.599	538
36.624	424	36.650	495
36.674	393	36.700	456
36.726	365	36.751	423
36.776	342	36.801	402
36.827	324	36.853	390
36.877	315	36.903	390
36.928	312	36.954	399
36.979	317	37.004	418
37.030	329	37.055	448
37.080	347	37.106	484
37.131	370	37.157	526
37.181	400	37.207	571
37.232	431	37.258	619
37.283	464	37.308	665
37.334	497	37.359	708
37.385	529	37.410	745
37.435	556	37.461	773
37.486	579	37.511	794
37.537	596	37.562	803
37.588	606	37.612	803
37.638	608	37.664	795
37.689	605	37.714	776
37.739	593	37.765	747
37.791	573	37.815	712
37.841	550	37.866	670
37.892	522	37.917	626
37.942	490	37.968	578
37.993	457	38.018	533
38.043	424	38.069	492
38.095	393	38.119	455
38.145	364	38.170	425
38.196	341	38.221	405
38.246	324	38.272	396
38.297	314	38.322	396
38.348	312	38.373	407
38.399	316	38.423	428
38.449	328	38.475	457
38.500	347	38.525	493
38.550	371	38.576	535
38.602	400	38.626	579
38.652	432	38.677	624
38.703	465	38.728	668
38.753	498	38.779	710
38.804	530	38.829	744
38.854	558	38.880	771
38.906	580	38.930	789
38.956	597	38.981	797
39.007	607	39.032	796
39.057	609	39.083	786
39.108	605	39.133	766
39.159	593	39.184	738
39.210	575	39.234	703
39.260	550	39.286	662
39.311	521	39.336	618
39.361	489	39.387	573
39.413	455	39.437	530
39.463	422	39.488	490
39.514	390	39.539	455
39.564	363	39.590	428
39.615	340	39.640	410
39.666	323	39.691	402
39.717	313	39.741	404
39.767	310	39.792	416
39.818	316	39.843	437
39.868	329	39.894	466
39.919	347	39.944	502
39.970	372	39.995	542
40.021	401	40.045	586
40.071	434	40.097	629
40.122	467	40.147	671
40.172	501	40.198	710
40.224	532	40.248	743
40.274	560	40.299	768
40.325	582	40.350	784
40.375	599	40.401	790
40.426	608	40.452	788
40.477	611	40.502	777
40.528	606	40.553	757
40.578	593	40.603	729
40.629	574	40.655	693
40.679	550	40.705	654
40.730	520	40.756	612
40.781	488	40.806	568
40.832	454	40.857	526
40.882	421	40.908	488
40.933	388	40.959	456
40.983	360	41.009	431
41.035	338	41.060	415
41.085	321	41.110	408
41.136	312	41.162	412
41.186	310	41.212	424
41.237	316	41.263	446
41.288	329	41.313	474
41.339	348	41.364	510
41.389	373	41.414	548
41.440	403	41.466	591
41.490	436	41.516	634
41.541	469	41.567	674
41.592	503	41.617	710
41.643	534	41.668	741
41.693	562	41.719	764
41.744	585	41.770	779
41.794	601	41.820	784
41.846	610	41.871	781
41.896	612	41.921	769
41.947	607	41.973	748
41.997	593	42.023	720
42.048	574	42.074	686
42.099	548	42.124	647
42.150	518	42.175	606
42.200	485	42.226	564
42.251	452	42.277	525
42.301	418	42.327	489
42.352	385	42.378	459
42.403	358	42.428	435
42.454	335	42.479	421
42.504	319	42.530	416
42.555	311	42.581	419
42.605	309	42.631	432
42.657	315	42.682	454
42.707	329	42.732	481
42.758	349	42.784	517
42.808	375	42.834	555
42.859	406	42.885	595
42.910	438	42.935	636
