#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.012	489	21.037	548
21.062	525	21.087	513
21.113	558	21.139	480
21.163	588	21.189	454
21.214	611	21.240	434
21.265	628	21.290	422
21.316	636	21.341	418
21.366	637	21.392	424
21.417	630	21.443	436
21.467	614	21.493	459
21.518	592	21.544	486
21.569	563	21.594	518
21.620	531	21.645	553
21.671	496	21.696	590
21.721	459	21.747	626
21.772	425	21.797	659
21.823	393	21.848	688
21.874	365	21.898	712
21.924	345	21.950	727
21.975	332	22.000	734
22.025	327	22.051	733
22.077	330	22.101	725
22.127	342	22.152	708
22.178	361	22.203	685
22.228	385	22.254	654
22.279	415	22.304	621
22.329	450	22.355	586
22.381	486	22.405	549
22.431	520	22.456	514
22.482	553	22.507	482
22.532	583	22.558	456
22.583	606	22.608	436
22.634	623	22.659	424
22.685	633	22.709	420
22.735	634	22.761	425
22.786	628	22.811	438
22.836	613	22.862	458
22.888	592	22.912	486
22.938	565	22.963	518
22.989	533	23.014	553
23.039	499	23.065	590
23.090	463	23.115	626
23.140	430	23.166	659
23.192	397	23.216	687
23.242	370	23.267	710
23.293	349	23.318	725
23.343	335	23.369	732
23.394	330	23.419	733
23.445	333	23.470	723
23.496	342	23.520	707
23.546	361	23.572	684
23.597	384	23.622	655
23.647	413	23.673	622
23.699	446	23.723	586
23.749	480	23.774	550
23.800	515	23.825	515
23.850	547	23.876	483
23.901	577	23.926	457
23.952	601	23.977	437
24.003	619	24.027	426
24.053	628	24.078	422
24.104	630	24.129	426
24.154	625	24.180	438
24.205	612	24.230	460
24.256	592	24.281	487
24.307	565	24.331	518
24.357	535	24.383	553
24.408	501	24.433	589
24.458	467	24.484	624
24.510	434	24.534	657
24.560	402	24.585	686
24.611	375	24.636	709
24.661	353	24.687	724
24.712	340	24.738	731
24.763	334	24.788	732
24.814	335	24.839	723
24.864	344	24.889	707
24.915	361	24.941	683
24.965	384	24.991	655
25.016	411	25.042	622
25.067	444	25.092	587
