#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.730	448	29.756	589
29.780	476	29.806	624
29.832	503	29.857	657
29.882	529	29.907	685
29.933	552	29.959	710
29.983	571	30.009	727
30.034	584	30.060	737
30.084	591	30.110	739
30.136	593	30.161	734
30.186	588	30.211	721
30.237	577	30.263	701
30.287	561	30.313	676
30.338	540	30.364	645
30.389	515	30.414	612
30.440	488	30.465	577
30.491	460	30.516	543
30.541	432	30.567	509
30.592	407	30.617	480
30.643	384	30.668	456
30.694	365	30.718	439
30.744	352	30.770	431
30.795	345	30.820	428
30.845	344	30.871	434
30.897	349	30.921	448
30.947	361	30.972	467
30.998	377	31.022	494
31.048	398	31.074	524
31.099	423	31.124	558
31.149	450	31.175	592
31.201	478	31.225	627
31.251	505	31.276	658
31.302	531	31.327	686
31.352	554	31.378	709
31.403	571	31.428	725
31.454	583	31.479	733
31.505	590	31.529	735
31.555	592	31.581	729
31.606	587	31.631	716
31.656	575	31.682	696
31.708	558	31.732	671
31.758	537	31.783	640
31.809	512	31.833	608
31.859	485	31.885	573
31.910	458	31.935	540
31.960	431	31.986	509
32.012	405	32.036	480
32.062	383	32.087	458
32.113	365	32.138	442
32.163	352	32.189	434
32.214	346	32.239	432
32.265	346	32.290	439
32.316	351	32.340	452
32.366	363	32.392	472
32.417	379	32.442	499
32.467	400	32.493	529
32.519	425	32.543	562
32.569	452	32.594	595
32.620	480	32.644	629
32.670	507	32.696	660
32.721	532	32.746	686
32.771	554	32.797	708
32.823	571	32.847	723
32.873	583	32.898	730
32.924	590	32.949	731
32.974	590	33.000	725
33.025	584	33.050	711
33.076	573	33.101	691
33.127	556	33.151	666
33.177	534	33.203	635
33.228	510	33.253	603
33.278	483	33.304	570
33.330	455	33.354	538
33.380	429	33.405	507
33.431	404	33.455	480
33.481	382	33.507	459
33.532	364	33.558	444
33.582	353	33.608	437
33.634	347	33.659	436
33.684	347	33.709	444
33.735	353	33.761	457
33.785	365	33.811	477
33.836	382	33.862	503
33.887	403	33.912	534
33.938	428	33.963	566
33.988	455	34.014	599
34.039	482	34.065	631
34.089	509	34.115	661
34.141	534	34.166	686
34.191	555	34.216	707
34.242	571	34.268	720
34.292	583	34.318	727
34.343	589	34.369	727
34.393	589	34.419	719
34.445	582	34.470	707
34.495	570	34.520	687
34.546	553	34.572	661
34.596	532	34.622	631
34.647	507	34.673	601
34.698	480	34.723	568
34.749	453	34.774	535
34.799	427	34.825	506
34.850	402	34.876	480
34.900	381	34.926	460
