#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 09:21:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.371	485	36.396	568
36.422	494	36.446	580
36.472	502	36.498	590
36.523	510	36.548	598
36.573	516	36.599	603
36.625	520	36.649	606
36.675	522	36.700	606
36.726	523	36.750	603
36.776	521	36.802	599
36.827	518	36.852	591
36.877	512	36.903	581
36.929	506	36.953	571
36.979	498	37.004	560
37.030	489	37.055	547
37.080	480	37.106	536
37.131	472	37.156	525
37.182	464	37.207	516
37.233	457	37.257	509
37.283	451	37.309	503
37.334	446	37.359	500
37.384	444	37.410	502
37.436	444	37.460	505
37.486	446	37.511	510
37.537	449	37.561	517
37.587	454	37.613	526
37.638	461	37.663	536
37.688	468	37.714	547
37.740	477	37.764	558
37.790	486	37.815	568
37.841	495	37.866	579
37.891	503	37.917	587
37.942	510	37.967	593
37.993	515	38.018	598
38.044	519	38.069	600
38.094	521	38.120	600
38.145	521	38.171	597
38.195	520	38.221	593
38.247	516	38.272	585
38.297	510	38.322	577
38.348	504	38.374	566
38.398	495	38.424	557
38.449	487	38.475	546
38.499	479	38.525	536
38.551	471	38.576	526
38.601	462	38.626	520
38.652	456	38.678	513
38.702	450	38.728	509
38.753	446	38.779	508
38.804	445	38.829	508
38.855	444	38.880	510
38.905	445	38.931	515
38.956	450	38.982	522
39.006	455	39.032	530
39.058	461	39.083	540
39.108	470	39.133	549
39.159	478	39.185	559
39.209	487	39.235	568
39.260	496	39.286	578
39.310	503	39.336	583
39.362	510	39.387	589
39.412	515	39.437	593
39.463	519	39.489	595
39.513	520	39.539	594
39.564	520	39.590	591
39.615	518	39.640	587
39.666	514	39.691	580
39.716	508	39.742	573
39.767	502	39.793	564
39.817	495	39.843	555
39.869	485	39.894	545
39.919	476	39.944	537
39.970	469	39.996	530
40.020	461	40.046	523
40.071	455	40.097	518
40.121	450	40.147	516
40.173	446	40.198	514
40.223	445	40.248	514
40.274	445	40.300	517
40.324	447	40.350	521
40.375	451	40.401	527
40.426	457	40.451	534
40.477	464	40.502	542
40.527	472	40.553	550
40.578	480	40.604	558
40.628	488	40.654	567
40.680	497	40.705	574
40.730	504	40.755	580
40.781	510	40.807	586
40.831	515	40.857	588
40.882	518	40.908	588
40.932	519	40.958	588
40.984	518	41.009	585
41.034	516	41.059	581
41.085	511	41.111	575
41.135	506	41.161	569
41.186	500	41.212	562
41.237	493	41.262	554
41.288	483	41.313	547
41.339	475	41.364	539
41.389	466	41.415	533
41.440	460	41.465	527
41.491	454	41.516	523
41.542	449	41.566	520
41.592	446	41.618	520
41.643	445	41.668	520
41.693	446	41.719	523
41.745	449	41.769	526
41.795	454	41.820	531
41.846	459	41.870	538
41.896	467	41.922	544
41.947	474	41.972	551
41.997	482	42.023	559
42.049	490	42.073	565
42.099	497	42.124	570
42.150	505	42.175	576
42.200	511	42.226	579
42.251	515	42.276	582
42.302	518	42.327	582
42.353	517	42.377	582
42.403	517	42.429	580
42.454	513	42.479	576
42.504	510	42.530	572
42.556	503	42.580	566
42.606	497	42.631	560
42.657	489	42.681	554
42.707	480	42.733	548
42.758	473	42.783	542
42.808	465	42.834	537
42.860	458	42.884	532
42.910	453	42.935	528
42.961	449	42.986	526
43.011	447	43.037	525
43.062	446	43.087	526
43.113	448	43.138	527
43.164	451	43.188	531
43.214	456	43.240	535
43.265	462	43.290	540
43.315	468	43.341	545
43.367	476	43.391	550
43.417	484	43.442	557
43.468	492	43.492	563
43.518	499	43.544	567
43.569	506	43.594	573
43.619	511	43.645	575
43.671	514	43.695	577
43.721	516	43.746	577
43.772	516	43.797	577
43.822	515	43.848	575
43.873	512	43.898	573
43.924	507	43.949	568
43.975	501	43.999	564
44.025	493	44.051	559
44.076	485	44.101	554
44.126	478	44.152	549
44.178	470	44.202	543
44.228	463	44.253	540
44.279	458	44.303	536
44.329	452	44.355	533
44.380	449	44.406	530
44.430	447	44.456	530
44.482	448	44.507	530
44.532	449	44.557	532
44.583	453	44.609	534
44.633	459	44.659	538
