#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
37.537	471	37.561	601
37.587	434	37.612	640
37.638	399	37.662	675
37.688	367	37.714	706
37.739	340	37.764	730
37.789	320	37.815	745
37.841	308	37.865	751
37.891	306	37.916	749
37.942	310	37.967	738
37.992	324	38.018	720
38.043	345	38.068	693
38.094	371	38.119	660
38.145	403	38.169	625
38.195	439	38.221	585
38.246	475	38.271	545
38.296	510	38.322	508
38.348	544	38.372	473
38.398	573	38.423	446
38.449	596	38.473	426
38.499	612	38.525	415
38.550	619	38.575	412
38.600	619	38.626	418
38.652	611	38.676	433
38.702	594	38.727	457
38.753	571	38.778	486
38.803	542	38.829	522
38.854	509	38.879	560
38.905	474	38.930	599
38.956	437	38.980	637
39.006	403	39.032	673
39.057	371	39.082	703
39.107	344	39.133	726
39.159	324	39.183	742
39.209	312	39.234	749
39.260	309	39.284	747
39.310	313	39.336	738
39.361	326	39.387	719
39.411	346	39.437	693
39.463	370	39.488	661
39.513	402	39.538	625
39.564	436	39.590	586
39.614	472	39.640	547
39.665	506	39.691	510
39.716	540	39.741	477
39.767	568	39.792	449
39.817	592	39.843	429
39.868	608	39.894	416
39.918	616	39.944	414
39.970	616	39.995	419
40.020	609	40.045	434
40.071	593	40.097	456
40.121	571	40.147	486
40.172	543	40.198	521
40.222	511	40.248	558
40.274	476	40.299	597
40.324	441	40.349	635
40.375	407	40.401	670
40.425	375	40.451	700
40.476	349	40.502	724
40.527	329	40.552	740
40.578	317	40.603	747
40.628	312	40.654	746
40.679	316	40.705	736
40.729	327	40.755	718
40.781	347	40.806	693
40.831	372	40.856	662
40.882	401	40.908	627
40.932	435	40.958	589
40.983	469	41.009	550
41.033	503	41.059	513
41.085	536	41.110	479
41.135	564	41.160	451
41.186	588	41.212	430
41.236	604	41.262	418
41.287	612	41.313	415
41.338	613	41.363	420
41.389	607	41.414	434
41.439	592	41.465	456
41.490	571	41.516	485
41.540	544	41.566	518
41.592	512	41.617	556
41.642	479	41.667	595
41.693	444	41.719	632
41.743	410	41.769	667
41.794	380	41.820	697
41.844	353	41.870	722
41.896	334	41.921	738
41.946	321	41.971	745
41.997	317	42.023	745
42.047	319	42.073	736
42.098	330	42.124	718
42.149	347	42.174	693
42.200	371	42.225	663
42.250	400	42.276	628
42.301	433	42.327	590
42.351	467	42.377	552
42.403	500	42.428	516
42.453	533	42.478	482
42.504	561	42.530	453
42.554	584	42.580	433
42.605	600	42.631	420
42.656	609	42.681	417
42.707	610	42.732	421
42.757	605	42.782	435
42.808	590	42.834	456
42.858	570	42.884	484
42.909	544	42.935	518
42.960	514	42.985	554
43.011	480	43.036	592
43.061	447	43.087	629
43.112	414	43.138	664
43.162	384	43.188	695
43.214	358	43.239	720
43.264	338	43.289	735
43.315	325	43.341	743
43.365	320	43.391	743
43.416	322	43.442	735
43.467	332	43.492	718
43.518	350	43.543	694
43.568	372	43.593	664
43.619	400	43.645	629
43.669	432	43.695	593
43.720	465	43.746	555
43.771	498	43.796	519
43.822	529	43.847	485
43.873	557	43.898	456
43.923	580	43.949	435
43.974	596	43.999	423
44.025	605	44.050	419
44.076	608	44.100	422
44.126	602	44.152	435
44.177	588	44.202	456
44.227	569	44.253	483
44.279	544	44.303	516
44.329	515	44.354	552
44.380	483	44.404	590
44.430	449	44.456	627
44.481	417	44.506	662
44.531	387	44.557	692
44.583	362	44.607	717
44.633	342	44.658	733
44.684	329	44.709	741
44.734	324	44.760	742
44.785	325	44.810	734
44.836	335	44.861	718
44.887	351	44.911	694
44.937	373	44.963	665
44.988	400	45.013	632
45.038	431	45.064	595
45.090	463	45.114	557
45.140	496	45.165	521
45.191	527	45.216	489
45.241	554	45.267	460
45.292	576	45.317	438
45.342	593	45.368	425
45.394	602	45.418	420
45.444	604	45.469	423
45.495	600	45.520	435
45.545	587	45.571	456
45.596	568	45.621	482
45.647	544	45.672	514
45.698	516	45.722	550
45.748	484	45.774	587
45.799	452	45.824	623
45.849	420	45.875	659
45.901	391	45.925	689
45.951	365	45.976	713
46.002	346	46.027	731
46.052	333	46.078	739
46.103	328	46.128	740
46.153	329	46.179	734
46.205	338	46.229	718
46.255	354	46.280	695
46.306	374	46.331	666
46.356	401	46.382	633
46.407	430	46.432	597
46.458	462	46.483	560
46.509	494	46.533	524
46.559	524	46.585	492
46.610	551	46.635	463
46.660	574	46.686	441
46.712	589	46.736	427
46.762	599	46.787	422
46.813	601	46.838	424
46.863	597	46.889	436
46.914	585	46.940	455
46.964	567	46.990	481
47.016	544	47.041	513
47.066	516	47.091	548
47.117	485	47.143	585
47.167	454	47.193	621
47.218	423	47.244	655
47.269	394	47.294	686
47.320	369	47.345	711
47.370	349	47.396	728
47.421	337	47.447	737
47.471	331	47.497	739
47.523	332	47.548	733
47.573	340	47.598	718
47.624	355	47.650	696
