#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.426	478	29.451	552
29.476	490	29.502	553
29.527	504	29.553	552
29.577	517	29.603	553
29.629	529	29.654	552
29.679	539	29.704	553
29.730	548	29.756	553
29.780	553	29.806	552
29.831	556	29.857	553
29.881	556	29.907	553
29.933	553	29.958	552
29.983	546	30.008	552
30.034	539	30.060	552
30.084	528	30.110	552
30.135	516	30.161	552
30.186	504	30.211	552
30.237	490	30.262	553
