Source,CH1,CH2
Second,Volt,Volt
-0.00121220000,-4.16000,0.03562,
-0.00121200000,-4.16000,0.03855,
-0.00121180000,-4.16000,0.03416,
-0.00121160000,-4.16000,0.03709,
-0.00121140000,-4.16000,0.04099,
-0.00121120000,-4.16000,0.03318,
-0.00121100000,-4.16000,0.03806,
-0.00121080000,-4.24000,0.04099,
-0.00121060000,-4.16000,0.04099,
-0.00121040000,-4.16000,0.03709,
-0.00121020000,-4.24000,0.03953,
-0.00121000000,-4.16000,0.03562,
-0.00120980000,-4.16000,0.03806,
-0.00120960000,-4.16000,0.04099,
-0.00120940000,-4.16000,0.04343,
-0.00120920000,-4.16000,0.03221,
-0.00120900000,-4.16000,0.03562,
-0.00120880000,-4.16000,0.03855,
-0.00120860000,-4.16000,0.03660,
-0.00120840000,-4.16000,0.03953,
-0.00120820000,-4.16000,0.03318,
-0.00120800000,-4.16000,0.03855,
-0.00120780000,-4.16000,0.03465,
-0.00120760000,-4.16000,0.03709,
-0.00120740000,-4.24000,0.02538,
-0.00120720000,-4.16000,0.03416,
-0.00120700000,-4.16000,0.04197,
-0.00120680000,-4.16000,0.03318,
-0.00120660000,-4.16000,0.03562,
-0.00120640000,-4.16000,0.03806,
-0.00120620000,-4.16000,0.03465,
-0.00120600000,-4.16000,0.03318,
-0.00120580000,-4.16000,0.03318,
-0.00120560000,-4.16000,0.04197,
-0.00120540000,-4.16000,0.03806,
-0.00120520000,-4.16000,0.03318,
-0.00120500000,-4.16000,0.03806,
-0.00120480000,-4.16000,0.03660,
-0.00120460000,-4.16000,0.04050,
-0.00120440000,-4.16000,0.04099,
-0.00120420000,-4.16000,0.04099,
-0.00120400000,-4.16000,0.03416,
-0.00120380000,-4.16000,0.03416,
-0.00120360000,-4.16000,0.04050,
-0.00120340000,-4.16000,0.03660,
-0.00120320000,-4.16000,0.03660,
-0.00120300000,-4.16000,0.03416,
-0.00120280000,-4.16000,0.03806,
-0.00120260000,-4.16000,0.03855,
-0.00120240000,-4.16000,0.04050,
-0.00120220000,-4.24000,0.03465,
-0.00120200013,-4.16000,0.03074,
-0.00120180013,-4.16000,0.03318,
-0.00120160013,-4.16000,0.03806,
-0.00120140013,-4.16000,0.03318,
-0.00120120013,-4.16000,0.03318,
-0.00120100013,-4.16000,0.03806,
-0.00120080013,-4.16000,0.02586,
-0.00120060000,-4.16000,0.03953,
-0.00120040000,-4.16000,0.03562,
-0.00120020000,-4.24000,0.03318,
-0.00120000000,-4.16000,0.03074,
-0.00119980000,-4.16000,0.02830,
-0.00119960000,-4.16000,0.03416,
-0.00119940000,-4.16000,0.02977,
-0.00119920000,-4.16000,0.03221,
-0.00119900000,-4.16000,0.03172,
-0.00119880000,-4.16000,0.03074,
-0.00119860000,-4.16000,0.03416,
-0.00119840000,-4.16000,0.03660,
-0.00119820000,-4.16000,0.03172,
-0.00119800000,-4.16000,0.03172,
-0.00119780000,-4.16000,0.02684,
-0.00119760000,-4.16000,0.03806,
-0.00119740000,-4.08000,0.03562,
-0.00119720000,-4.16000,0.03416,
-0.00119700000,-4.16000,0.02342,
-0.00119680000,-4.16000,0.03074,
-0.00119660000,-4.16000,0.03806,
-0.00119640000,-4.16000,0.03318,
-0.00119620000,-4.08000,0.03318,
-0.00119600000,-4.16000,0.03416,
-0.00119580000,-4.16000,0.03074,
-0.00119560000,-4.16000,0.02684,
-0.00119540000,-4.16000,0.02977,
-0.00119520000,-4.16000,0.02342,
-0.00119500000,-4.16000,0.02538,
-0.00119480000,-4.16000,0.02928,
-0.00119460000,-4.08000,0.03074,
-0.00119440000,-4.16000,0.02294,
-0.00119420000,-4.08000,0.02684,
-0.00119400000,-4.16000,0.02440,
-0.00119380000,-4.16000,0.02538,
-0.00119360000,-4.16000,0.02684,
-0.00119340000,-4.16000,0.02782,
-0.00119320000,-4.16000,0.02538,
-0.00119300000,-4.16000,0.03172,
-0.00119280000,-4.16000,0.02196,
-0.00119260000,-4.08000,0.02928,
-0.00119240000,-4.16000,0.02782,
-0.00119220000,-4.08000,0.02782,
-0.00119200000,-4.08000,0.02196,
-0.00119180000,-4.16000,0.02586,
-0.00119160000,-4.16000,0.03416,
-0.00119140000,-4.16000,0.02782,
-0.00119120000,-4.16000,0.02684,
-0.00119100000,-4.16000,0.02538,
-0.00119080000,-4.16000,0.03172,
-0.00119060000,-4.16000,0.03318,
-0.00119040000,-4.16000,0.03172,
-0.00119020000,-4.16000,0.02586,
-0.00119000000,-4.16000,0.02586,
-0.00118980000,-4.16000,0.02782,
-0.00118960000,-4.08000,0.03074,
-0.00118940000,-4.16000,0.02928,
-0.00118920000,-4.16000,0.02440,
-0.00118900000,-4.16000,0.02586,
-0.00118880000,-4.08000,0.02538,
-0.00118860000,-4.16000,0.02586,
-0.00118840000,-4.16000,0.02294,
-0.00118820000,-4.16000,0.02830,
-0.00118800000,-4.16000,0.02538,
-0.00118780000,-4.16000,0.02782,
-0.00118760000,-4.16000,0.02928,
-0.00118740000,-4.16000,0.01171,
-0.00118720000,-4.16000,0.01659,
-0.00118700000,-4.16000,0.03660,
-0.00118680000,-4.16000,0.03074,
-0.00118660013,-4.16000,0.02294,
