Source,CH1,CH2
Second,Volt,Volt
-0.011618,-3.28,0.144
-0.011616,-3.36,0.148
-0.011614,-3.28,0.148
-0.011612,-3.36,0.148
-0.01161,-3.36,0.148
-0.011608,-3.28,0.14
-0.011606,-3.28,0.14
-0.011604,-3.28,0.148
-0.011602,-3.36,0.14
-0.0116,-3.36,0.148
-0.011598,-3.36,0.144
-0.011596,-3.36,0.148
-0.011594,-3.36,0.144
-0.011592,-3.36,0.144
-0.01159,-3.36,0.144
-0.011588,-3.36,0.14
-0.011586,-3.28,0.144
-0.011584,-3.36,0.14
-0.011582,-3.36,0.14
-0.01158,-3.36,0.14
-0.011578,-3.36,0.14
-0.011576,-3.44,0.14
-0.011574,-3.36,0.144
-0.011572,-3.36,0.08
-0.01157,-3.36,0.14
-0.011568,-3.36,0.144
-0.011566,-3.44,0.148
-0.011564,-3.36,0.144
-0.011562,-3.36,0.14
-0.01156,-3.36,0.144
-0.011558,-3.36,0.144
-0.011556,-3.36,0.136
-0.011554,-3.36,0.14
-0.011552,-3.44,0.152
-0.01155,-3.44,0.14
-0.011548,-3.44,0.136
-0.011546,-3.44,0.136
-0.011544,-3.44,0.144
-0.011542,-3.44,0.144
-0.01154,-3.44,0.144
-0.011538,-3.44,0.14
-0.011536,-3.44,0.144
-0.011534,-3.44,0.14
-0.011532,-3.44,0.136
-0.01153,-3.44,0.14
-0.011528,-3.36,0.136
-0.011526,-3.44,0.136
-0.011524,-3.44,0.14
-0.011522,-3.44,0.14
-0.01152,-3.44,0.136
-0.011518,-3.44,0.136
-0.011516,-3.44,0.136
-0.011514,-3.44,0.136
-0.011512,-3.44,0.136
-0.01151,-3.52,0.132
-0.011508,-3.44,0.132
-0.011506,-3.44,0.128
-0.011504,-3.44,0.136
-0.011502,-3.52,0.132
-0.0115,-3.44,0.128
-0.011498,-3.44,0.128
-0.011496,-3.44,0.124
-0.011494,-3.44,0.136
-0.011492,-3.44,0.128
-0.01149,-3.52,0.128
-0.011488,-3.44,0.124
-0.011486,-3.52,0.124
-0.011484,-3.52,0.12
-0.011482,-3.52,0.128
-0.01148,-3.52,0.124
-0.011478,-3.52,0.124
-0.011476,-3.52,0.12
-0.011474,-3.52,0.092
-0.011472,-3.52,0.124
-0.01147,-3.6,0.12
-0.011468,-3.52,0.12
-0.011466,-3.52,0.124
-0.011464,-3.52,0.12
-0.011462,-3.52,0.112
-0.01146,-3.52,0.116
-0.011458,-3.52,0.112
-0.011456,-3.52,0.112
-0.011454,-3.44,0.108
-0.011452,-3.52,0.108
-0.01145,-3.52,0.108
-0.011448,-3.52,0.108
-0.011446,-3.52,0.108
-0.011444,-3.52,0.108
-0.011442,-3.52,0.108
-0.01144,-3.52,0.108
-0.011438,-3.52,0.108
-0.011436,-3.52,0.112
-0.011434,-3.52,0.108
-0.011432,-3.52,0.108
-0.01143,-3.52,0.112
-0.011428,-3.52,0.116
-0.011426,-3.52,0.112
-0.011424,-3.52,0.108
-0.011422,-3.52,0.112
-0.01142,-3.52,0.108
-0.011418,-3.52,0.104
-0.011416,-3.52,0.108
-0.011414,-3.52,0.104
-0.011412,-3.52,0.096
-0.01141,-3.52,0.108
-0.011408,-3.6,0.116
-0.011406,-3.52,0.1
-0.011404,-3.6,0.108
-0.011402,-3.52,0.112
-0.0114,-3.52,0.104
-0.011398,-3.52,0.104
-0.011396,-3.52,0.104
-0.011394,-3.52,0.104
-0.011392,-3.52,0.104
-0.01139,-3.6,0.104
-0.011388,-3.52,0.104
-0.011386,-3.52,0.104
-0.011384,-3.6,0.108
-0.011382,-3.6,0.1
-0.01138,-3.52,0.096
-0.011378,-3.52,0.104
-0.011376,-3.6,0.076
-0.011374,-3.52,0.1
-0.011372,-3.6,0.1
-0.01137,-3.52,0.096
-0.011368,-3.52,0.096
-0.011366,-3.52,0.092
-0.011364,-3.52,0.092
-0.011362,-3.6,0.096
-0.01136,-3.6,0.096
-0.011358,-3.52,0.088
-0.011356,-3.52,0.092
-0.011354,-3.6,0.092
-0.011352,-3.52,0.092
-0.01135,-3.52,0.088
-0.011348,-3.52,0.088
-0.011346,-3.6,0.088
-0.011344,-3.6,0.088
-0.011342,-3.6,0.084
-0.01134,-3.6,0.084
-0.011338,-3.52,0.08
-0.011336,-3.6,0.076
-0.011334,-3.6,0.076
-0.011332,-3.6,0.084
-0.01133,-3.6,0.08
-0.011328,-3.6,0.08
-0.011326,-3.6,0.08
-0.011324,-3.6,0.076
-0.011322,-3.6,0.076
-0.01132,-3.6,0.076
-0.011318,-3.6,0.076
-0.011316,-3.6,0.08
-0.011314,-3.68,0.076
-0.011312,-3.6,0.076
-0.01131,-3.6,0.076
-0.011308,-3.6,0.076
-0.011306,-3.6,0.076
-0.011304,-3.6,0.068
-0.011302,-3.6,0.072
-0.0113,-3.6,0.068
-0.011298,-3.6,0.068
-0.011296,-3.6,0.072
-0.011294,-3.6,0.072
-0.011292,-3.52,0.076
-0.01129,-3.6,0.084
-0.011288,-3.6,0.072
-0.011286,-3.6,0.072
-0.011284,-3.6,0.072
-0.011282,-3.6,0.072
-0.01128,-3.6,0.072
-0.011278,-3.6,0.064
-0.011276,-3.6,0.072
-0.011274,-3.6,0.072
-0.011272,-3.6,0.072
-0.01127,-3.6,0.072
-0.011268,-3.6,0.068
-0.011266,-3.6,0.068
-0.011264,-3.6,0.072
-0.011262,-3.6,0.068
-0.01126,-3.6,0.072
-0.011258,-3.52,0.072
-0.011256,-3.6,0.072
-0.011254,-3.52,0.072
-0.011252,-3.52,0.072
-0.01125,-3.52,0.076
-0.011248,-3.52,0.064
-0.011246,-3.52,0.072
-0.011244,-3.52,0.072
-0.011242,-3.52,0.072
-0.01124,-3.52,0.072
-0.011238,-3.52,0.064
-0.011236,-3.52,0.068
-0.011234,-3.6,0.064
-0.011232,-3.52,0.068
-0.01123,-3.52,0.064
-0.011228,-3.52,0.056
-0.011226,-3.52,0.064
-0.011224,-3.52,0.06
-0.011222,-3.52,0.056
-0.01122,-3.52,0.06
-0.011218,-3.52,0.064
-0.011216,-3.52,0.06
-0.011214,-3.52,0.06
-0.011212,-3.52,0.064
-0.01121,-3.52,0.06
-0.011208,-3.52,0.056
-0.011206,-3.52,0.06
-0.011204,-3.52,0.06
-0.011202,-3.52,0.052
-0.0112,-3.52,0.056
-0.011198,-3.52,0.06
-0.011196,-3.52,0.06
-0.011194,-3.52,0.06
-0.011192,-3.52,0.056
-0.01119,-3.52,0.056
-0.011188,-3.6,0.06
-0.011186,-3.52,0.048
-0.011184,-3.52,0.052
-0.011182,-3.52,0.052
-0.01118,-3.44,0.04
-0.011178,-3.52,0.052
-0.011176,-3.52,0.052
-0.011174,-3.52,0.052
-0.011172,-3.52,0.052
-0.01117,-3.52,0.048
-0.011168,-3.52,0.048
-0.011166,-3.52,0.04
-0.011164,-3.44,0.044
-0.011162,-3.44,0.044
-0.01116,-3.52,0.036
-0.011158,-3.52,0.044
-0.011156,-3.44,0.1
-0.011154,-3.52,0.04
-0.011152,-3.44,0.032
-0.01115,-3.52,0.036
-0.011148,-3.52,0.04
-0.011146,-3.52,0.04
-0.011144,-3.52,0.04
-0.011142,-3.44,0.044
-0.01114,-3.44,0.048
-0.011138,-3.44,0.044
-0.011136,-3.44,0.044
-0.011134,-3.44,0.044
-0.011132,-3.44,0.048
-0.01113,-3.44,0.044
-0.011128,-3.44,0.04
-0.011126,-3.44,0.044
-0.011124,-3.44,0.04
-0.011122,-3.52,0.044
-0.01112,-3.44,0.04
-0.011118,-3.44,0.044
-0.011116,-3.44,0.04
-0.011114,-3.44,0.044
-0.011112,-3.44,0.036
-0.01111,-3.44,0.048
-0.011108,-3.44,0.04
-0.011106,-3.44,0.04
-0.011104,-3.44,0.056
-0.011102,-3.44,0.04
-0.0111,-3.44,0.048
-0.011098,-3.44,0.036
-0.011096,-3.44,0.036
-0.011094,-3.44,0.036
-0.011092,-3.44,0.036
-0.01109,-3.44,0.052
-0.011088,-3.44,0.036
-0.011086,-3.36,0.028
-0.011084,-3.44,0.032
-0.011082,-3.44,0.032
-0.01108,-3.44,0.012
-0.011078,-3.44,0.036
-0.011076,-3.36,0.028
-0.011074,-3.44,0.028
-0.011072,-3.44,0.024
-0.01107,-3.36,0.04
-0.011068,-3.36,0.032
-0.011066,-3.36,0.032
-0.011064,-3.36,0.028
-0.011062,-3.36,0.028
-0.01106,-3.36,0.04
-0.011058,-3.44,0.004
