Source,CH1,CH2
Second,Volt,Volt
-0.11346,-1.5552,0.3
-0.11344,-1.512,0.296
-0.11342,-1.5552,0.296
-0.1134,-1.6416,0.3
-0.11338,-1.6416,0.3
-0.11336,-1.6416,0.296
-0.11334,-1.728,0.3
-0.11332,-1.728,0.284
-0.1133,-1.728,0.276
-0.11328,-1.8144,0.276
-0.1132599875,-1.8144,0.28
-0.11324,-1.9008,0.276
-0.11322,-1.9872,0.268
-0.1132,-1.9008,0.276
-0.11318,-1.9872,0.276
-0.11316,-1.9872,0.26
-0.11314,-2.0304,0.256
-0.11312,-2.0304,0.248
-0.1131,-2.0304,0.26
-0.11308,-2.1168,0.252
-0.11306,-2.2032,0.256
-0.11304,-2.2032,0.248
-0.11302,-2.2032,0.24
-0.113,-2.2032,0.24
-0.11298,-2.2896,0.236
-0.11296,-2.2896,0.236
-0.11294,-2.376,0.228
-0.1129199875,-2.376,0.232
-0.1129,-2.376,0.22
-0.11288,-2.4624,0.224
-0.11286,-2.4624,0.22
-0.11284,-2.5488,0.216
-0.11282,-2.5488,0.212
-0.1128,-2.5488,0.212
-0.11278,-2.5488,0.208
-0.11276,-2.592,0.2
-0.11274,-2.592,0.2
-0.11272,-2.7648,0.196
-0.1127,-2.6784,0.188
-0.11268,-2.7648,0.192
-0.11266,-2.7648,0.18
-0.11264,-2.7648,0.18
-0.11262,-2.8512,0.176
-0.1126,-2.9376,0.168
-0.11258,-2.8512,0.164
-0.11256,-2.9376,0.16
-0.11254,-2.9376,0.156
-0.11252,-2.9376,0.16
-0.1125,-3.1104,0.14
-0.11248,-3.1104,0.144
-0.11246,-3.1104,0.14
-0.11244,-3.1104,0.144
-0.11242,-3.1536,0.132
-0.1124,-3.1536,0.132
-0.11238,-3.1536,0.124
-0.11236,-3.1536,0.124
-0.11234,-3.24,0.104
-0.11232,-3.3264,0.112
-0.1122999875,-3.3264,0.1
-0.11228,-3.24,0.104
-0.11226,-3.3264,0.104
-0.11224,-3.4128,0.096
-0.11222,-3.4128,0.084
-0.1122,-3.4992,0.084
-0.11218,-3.4992,0.076
-0.11216,-3.4992,0.072
-0.11214,-3.4992,0.068
-0.11212,-3.5856,0.068
-0.1121,-3.5856,0.068
-0.11208,-3.672,0.056
-0.11206,-3.672,0.048
-0.11204,-3.672,0.048
-0.11202,-3.7152,0.04
-0.112,-3.7152,0.04
-0.11198,-3.672,0.024
-0.11196,-3.7152,0.024
-0.11194,-3.672,0.02
-0.11192,-3.5856,0.024
-0.1119,-3.5856,0.012
-0.11188,-3.4992,0.016
-0.11186,-3.5856,0.004
-0.11184,-3.4992,0
