Source,CH1,CH2
Second,Volt,Volt
-0.009305999,4.16,-0.136
-0.009304,4.16,-0.132
-0.009301999,4.16,-0.132
-0.0093,4.16,-0.136
-0.009297999,4.16,-0.136
-0.009296,4.16,-0.132
-0.009293999,4.16,-0.132
-0.009292,4.16,-0.136
-0.009290001,4.16,-0.128
-0.009288,4.16,-0.132
-0.009286001,4.16,-0.132
-0.009284,4.16,-0.124
-0.009282001,4.16,-0.128
-0.00928,4.16,-0.132
-0.009278001,4.16,-0.128
-0.009276,4.16,-0.124
-0.009274,4.16,-0.124
-0.009272,4.16,-0.12
-0.00927,4.16,-0.12
-0.009268,4.16,-0.116
-0.009266,4.16,-0.116
-0.009264,4.16,-0.124
-0.009262,4.16,-0.12
-0.00926,4.16,-0.12
-0.009258,4.16,-0.112
-0.009256,4.24,-0.12
-0.009254,4.16,-0.116
-0.009251999,4.16,-0.112
-0.00925,4.16,-0.116
-0.009247999,4.16,-0.116
-0.009246,4.16,-0.116
-0.009243999,4.16,-0.12
-0.009242,4.16,-0.112
-0.009239999,4.16,-0.124
-0.009238,4.16,-0.112
-0.009235999,4.16,-0.104
-0.009234,4.16,-0.112
-0.009231999,4.16,-0.112
-0.00923,4.16,-0.116
-0.009228001,4.16,-0.108
-0.009226,4.16,-0.108
-0.009224001,4.16,-0.112
-0.009222,4.16,-0.108
-0.009220001,4.16,-0.112
-0.009218,4.16,-0.116
-0.009216001,4.16,-0.112
-0.009214,4.16,-0.116
-0.009212,4.16,-0.108
-0.00921,4.08,-0.112
-0.009208,4.16,-0.108
-0.009206,4.16,-0.112
-0.009204,4.16,-0.104
-0.009202,4.16,-0.128
-0.0092,4.16,-0.104
-0.009198,4.16,-0.108
-0.009196,4.16,-0.104
-0.009194,4.16,-0.104
-0.009192,4.16,-0.104
-0.009189999,4.16,-0.104
-0.009188,4.16,-0.112
-0.009185999,4.16,-0.104
-0.009184,4.16,-0.104
-0.009181999,4.16,-0.104
-0.00918,4.16,-0.108
-0.009177999,4.16,-0.108
-0.009176,4.16,-0.108
-0.009173999,4.16,-0.108
-0.009172,4.08,-0.1
-0.009170001,4.16,-0.104
-0.009168,4.16,-0.1
-0.009166001,4.16,-0.104
-0.009164,4.16,-0.1
-0.009162001,4.16,-0.1
-0.00916,4.08,-0.104
-0.009158001,4.16,-0.1
-0.009156,4.16,-0.096
-0.009154001,4.16,-0.084
-0.009152,4.16,-0.092
-0.00915,4.16,-0.088
-0.009148,4.16,-0.088
-0.009146,4.16,-0.088
-0.009144,4.16,-0.092
-0.009142,4.16,-0.084
-0.00914,4.16,-0.092
-0.009138,4.16,-0.084
-0.009136,4.16,-0.084
-0.009134,4.16,-0.08
-0.009131999,4.16,-0.084
-0.00913,4.16,-0.084
-0.009127999,4.16,-0.088
-0.009126,4.16,-0.084
-0.009123999,4.16,-0.08
-0.009122,4.16,-0.076
-0.009119999,4.16,-0.076
-0.009118,4.16,-0.08
-0.009115999,4.16,-0.076
-0.009114,4.16,-0.076
-0.009111999,4.16,-0.076
-0.00911,4.16,-0.072
-0.009108001,4.16,-0.072
-0.009106,4.16,-0.076
-0.009104001,4.16,-0.06
-0.009102,4.16,-0.076
-0.009100001,4.16,-0.076
-0.009098,4.16,-0.076
-0.009096001,4.16,-0.076
-0.009094,4.16,-0.076
-0.009092001,4.16,-0.076
-0.00909,4.16,-0.072
-0.009088,4.16,-0.068
-0.009086,4.16,-0.072
-0.009084,4.16,-0.076
-0.009082,4.16,-0.072
-0.00908,4.16,-0.068
-0.009078,4.16,-0.072
-0.009076,4.16,-0.068
-0.009074,4.08,-0.064
-0.009072,4.16,-0.068
-0.009069999,4.16,-0.076
-0.009068,4.16,-0.072
-0.009065999,4.16,-0.072
-0.009064,4.16,-0.072
-0.009061999,4.16,-0.072
-0.00906,4.16,-0.068
-0.009057999,4.16,-0.068
-0.009056,4.16,-0.072
-0.009053999,4.16,-0.064
-0.009052,4.16,-0.068
-0.009049999,4.16,-0.072
-0.009048,4.16,-0.064
-0.009046001,4.16,-0.068
-0.009044,4.16,-0.06
-0.009042001,4.16,-0.064
-0.00904,4.16,-0.064
-0.009038001,4.16,-0.064
-0.009036,4.16,-0.056
-0.009034001,4.16,-0.072
-0.009032,4.16,-0.06
-0.00903,4.16,-0.072
-0.009028,4.16,-0.06
-0.009026,4.16,-0.052
-0.009024,4.16,-0.064
-0.009022,4.16,-0.06
-0.00902,4.16,-0.056
-0.009018,4.16,-0.056
-0.009016,4.16,-0.06
-0.009014,4.16,-0.056
-0.009012,4.16,-0.056
-0.00901,4.16,-0.052
-0.009007999,4.16,-0.056
-0.009006,4.16,0.036
-0.009003999,4.16,-0.048
-0.009002,4.16,-0.048
-0.008999999,4.16,-0.052
-0.008998,4.16,-0.052
-0.008995999,4.16,-0.044
-0.008994,4.16,-0.036
-0.008991999,4.16,-0.044
-0.00899,4.16,-0.044
-0.008987999,4.16,-0.044
-0.008986,4.16,-0.04
-0.008984001,4.16,-0.048
-0.008982,4.16,-0.04
-0.008980001,4.16,-0.04
-0.008978,4.16,-0.036
-0.008976001,4.16,-0.04
-0.008974,4.16,-0.04
-0.008972001,4.16,-0.028
-0.00897,4.16,-0.036
-0.008968,4.16,-0.036
-0.008966,4.16,-0.04
-0.008964,4.08,-0.016
-0.008962,4.16,-0.036
-0.00896,4.24,-0.032
-0.008958,4.16,-0.04
-0.008956,4.16,-0.036
-0.008954,4.16,-0.036
-0.008952,4.16,-0.036
-0.00895,4.16,-0.036
-0.008948,4.16,-0.028
-0.008945999,4.16,-0.032
-0.008944,4.16,-0.036
-0.008941999,4.08,-0.036
-0.00894,4.16,-0.032
-0.008937999,4.16,-0.036
-0.008936,4.16,-0.028
-0.008933999,4.16,-0.036
-0.008932,4.16,-0.032
-0.008929999,4.16,-0.028
-0.008928,4.16,-0.024
-0.008925999,4.16,-0.028
-0.008924,4.16,-0.028
-0.008922001,4.16,-0.028
-0.00892,4.16,-0.028
-0.008918001,4.16,-0.028
-0.008916,4.16,-0.028
-0.008914001,4.16,-0.024
-0.008912,4.16,-0.028
-0.008910001,4.16,-0.028
-0.008908,4.16,0.02
-0.008906,4.16,-0.024
-0.008904,4.16,-0.032
-0.008902,4.16,-0.028
-0.0089,4.16,-0.024
-0.008898,4.16,-0.02
-0.008896,4.16,-0.032
-0.008894,4.16,-0.028
-0.008892,4.08,-0.028
-0.00889,4.16,-0.028
-0.008888,4.16,-0.028
-0.008886,4.16,-0.028
-0.008883999,4.16,-0.02
-0.008882,4.16,-0.028
-0.008879999,4.16,-0.024
-0.008878,4.16,-0.024
-0.008875999,4.16,-0.02
-0.008874,4.16,-0.016
-0.008871999,4.16,-0.012
-0.00887,4.16,-0.008
-0.008867999,4.16,-0.008
-0.008866,4.16,-0.012
-0.008864001,4.16,-0.008
-0.008862,4.16,-0.008
-0.008860001,4.16,-0.012
-0.008858,4.16,-0.004
-0.008856001,4.16,-0.016
-0.008854,4.16,-0.012
-0.008852001,4.16,-0.016
-0.00885,4.16,0
-0.008848001,4.16,-0.004
-0.008846,4.16,-0.008
-0.008844,4.16,-0.004
-0.008842,4.16,-0.008
-0.00884,4.16,-0.008
-0.008838,4.16,-0.008
-0.008836,4.08,0
-0.008834,4.16,0.008
-0.008832,4.16,0
-0.00883,4.16,0.004
-0.008828,4.16,0
-0.008825999,4.16,0.004
-0.008824,4.16,0
-0.008821999,4.16,0.004
-0.00882,4.16,0.004
-0.008817999,4.16,0.008
-0.008816,4.16,0.004
-0.008813999,4.16,0
-0.008812,4.16,0.004
-0.008809999,4.16,0.032
-0.008808,4.16,0.004
-0.008805999,4.16,0.004
-0.008804,4.16,0
-0.008802001,4.16,0.008
-0.0088,4.16,0.008
-0.008798001,4.16,0.008
-0.008796,4.16,0.008
-0.008794001,4.16,0.004
-0.008792,4.08,0.012
-0.008790001,4.16,0.008
-0.008788,4.16,0.008
-0.008786,4.08,0
-0.008784,4.16,0.008
-0.008782,4.16,-0.004
-0.00878,4.16,0
-0.008778,4.08,0
-0.008776,4.16,0
-0.008774,4.08,0.008
-0.008772,4.16,0.008
-0.00877,4.16,0.008
-0.008768,4.16,0.004
-0.008766,4.16,0.008
-0.008763999,4.16,0.012
-0.008762,4.16,0.012
-0.008759999,4.16,0.012
-0.008758,4.16,0.012
-0.008755999,4.16,0.016
-0.008754,4.16,0.016
-0.008751999,4.16,0.012
-0.00875,4.16,0.012
-0.008747999,4.16,0.012
-0.008746,4.16,0.012
-0.008743999,4.16,0.012
-0.008742,4.16,0.016
-0.008740001,4.16,0.016
-0.008738,4.16,0.016
-0.008736001,4.16,0.016
-0.008734,4.16,0.016
-0.008732001,4.16,0.016
-0.00873,4.16,0.028
-0.008728001,4.16,0.028
-0.008726,4.16,0.024
-0.008724,4.16,0.024
-0.008722,4.16,0.024
-0.00872,4.16,0.02
